"id","datetime","address","longitude","latitude","type_id","geo_updated","created_at"
1075,"2017-11-04 03:25:00+03","","37.2524","55.3738",12,False,"2018-07-14 00:07:38.962043+03"
1074,"2017-11-05 19:40:00+03","г Московский, ул Солнечная, 31б","37.369718","55.587723",2,True,"2018-07-14 00:07:39.264746+03"
1073,"2017-11-09 12:00:00+03","г Московский, мкр 1-й, 22 Б","37.350254","55.598718",1,False,"2018-07-14 00:07:39.520133+03"
1072,"2017-11-15 01:00:00+03","","37","55",4,False,"2018-07-14 00:07:39.522982+03"
18,"2015-09-10 17:55:00+03","","37.355833","55.793889",2,False,"2018-07-14 00:04:57.877384+03"
19,"2015-09-06 19:40:00+03","","37.293611","55.795833",1,False,"2018-07-14 00:04:57.879784+03"
90,"2015-05-24 10:45:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.2375","55.694444",3,True,"2018-07-14 00:04:58.444659+03"
26,"2017-12-18 10:15:00+03","","37.17056","55.67347",2,False,"2018-07-14 00:04:57.90838+03"
35,"2015-06-25 13:50:00+03","г Москва, А-109 Ильинское шоссе","37.306389","55.799167",1,True,"2018-07-14 00:04:57.921626+03"
92,"2015-05-08 06:50:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.133056","55.719722",3,True,"2018-07-14 00:04:58.455703+03"
825,"2015-03-06 06:45:00+03","г Москва, М-3 Украина Москва - Калуга - Брянск - граница с Украиной (основное направление)","37.246667","55.581389",2,True,"2018-07-14 00:06:59.633892+03"
826,"2018-05-27 10:35:00+03","","37.256795","55.583809",2,False,"2018-07-14 00:06:59.636772+03"
29,"2017-12-13 18:50:00+03","г Москва, А-109 Ильинское шоссе","37.23575","55.75841",1,True,"2018-07-14 00:04:57.928164+03"
110,"2016-08-20 10:00:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.221308","55.707565",3,True,"2018-07-14 00:04:57.942089+03"
94,"2015-05-01 02:20:00+03","","47.900833","5.084444",2,False,"2018-07-14 00:04:58.460793+03"
603,"2017-08-27 00:10:00+03","","37.5867","55.8617",1,False,"2018-07-14 00:06:10.223743+03"
428,"2016-07-13 23:00:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.098008","55.705923",10,True,"2018-07-14 00:04:57.961483+03"
98,"2018-06-22 10:20:00+03","г Москва, М-9 Балтия Москва - Волоколамск - граница с Латвийской Республикой","37.345362","55.798049",2,True,"2018-07-14 00:04:58.470721+03"
100,"2018-06-06 20:00:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.230134","55.696327",2,True,"2018-07-14 00:04:58.480243+03"
606,"2015-05-17 01:05:00+03","","37.335556","55.505278",1,False,"2018-07-14 00:06:10.214566+03"
605,"2017-08-04 00:10:00+03","","37.6019","55.8539",2,False,"2018-07-14 00:06:10.218291+03"
604,"2017-08-19 16:00:00+03","","37.6517","55.8853",2,False,"2018-07-14 00:06:10.22136+03"
33,"2017-12-03 13:35:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.2947","55.7458",4,True,"2018-07-14 00:04:57.96437+03"
39,"2015-06-18 15:50:00+03","г Москва, А-109 Ильинское шоссе","37.2025","55.748333",1,True,"2018-07-14 00:04:58.012049+03"
102,"2018-06-01 20:30:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.182026","55.719593",7,True,"2018-07-14 00:04:58.491767+03"
49,"2015-06-04 19:40:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.1811","55.4754",2,True,"2018-07-14 00:04:58.049643+03"
69,"2017-05-30 23:00:00+03","г Москва, А-106 Рублево-Успенское шоссе","37.2405","55.69089",7,True,"2018-07-14 00:04:58.369113+03"
828,"2017-11-28 18:42:00+03","","37.2516","55.5828",3,False,"2018-07-14 00:06:59.641925+03"
103,"2016-08-28 23:10:00+03","г Москва, А-109 Ильинское шоссе","37.237398","55.758046",2,True,"2018-07-14 00:04:58.495018+03"
